RegionID,RegionName,RegionType,SizeRank,ZriForecast,Forecast_YoY_Change,Current_YoY_Change
102001,United States,Country,0,1505,0.018957346,0.026407227
394913,"New York, NY",Msa,1,2447,0.011575031,0.016386555
753899,"Los Angeles-Long Beach-Anaheim, CA",Msa,2,2914,0.027865961,0.032034947
394463,"Chicago, IL",Msa,3,1732,0.021226415,0.035409035
394514,"Dallas-Fort Worth, TX",Msa,4,1686,0.024301337,0.031328321
394974,"Philadelphia, PA",Msa,5,1624,0.008069522,0.028079132
394692,"Houston, TX",Msa,6,1601,0.010094637,0.022580645
395209,"Washington, DC",Msa,7,2198,0.010110294,0.021596244
394856,"Miami-Fort Lauderdale, FL",Msa,8,1989,0.031639004,0.033226152
394347,"Atlanta, GA",Msa,9,1514,0.042699725,0.043103448
394404,"Boston, MA",Msa,10,2462,0.025406081,0.020833333
395057,"San Francisco, CA",Msa,11,3542,0.025180897,0.01737338
394532,"Detroit, MI",Msa,12,1260,0.026058632,0.026755853
395025,"Riverside, CA",Msa,13,2078,0.042649272,0.055055585
394976,"Phoenix, AZ",Msa,14,1529,0.053030303,0.066862601
395078,"Seattle, WA",Msa,15,2317,0.036225403,0.024747938
394865,"Minneapolis-St Paul, MN",Msa,16,1750,0.026995305,0.042839657
395056,"San Diego, CA",Msa,17,2751,0.038113208,0.042896497
395121,"St. Louis, MO",Msa,18,1172,0.008605852,0.021089631
395148,"Tampa, FL",Msa,19,1506,0.041493776,0.047826087
394358,"Baltimore, MD",Msa,20,1774,0.011402509,0.009786989
394530,"Denver, CO",Msa,21,2211,0.045884579,0.032730826
394982,"Pittsburgh, PA",Msa,22,1121,0.014479638,0.03271028
394998,"Portland, OR",Msa,23,1945,0.037333333,0.020685901
394458,"Charlotte, NC",Msa,24,1397,0.037890045,0.041795666
395045,"Sacramento, CA",Msa,25,1988,0.035956227,0.041802389
395055,"San Antonio, TX",Msa,26,1407,0.024763292,0.027694611
394943,"Orlando, FL",Msa,27,1587,0.033203125,0.064449064
394466,"Cincinnati, OH",Msa,28,1352,0.034429992,0.025098039
394475,"Cleveland, OH",Msa,29,1183,0.012842466,0.024561404
394735,"Kansas City, MO",Msa,30,1336,0.028483449,0.025256511
394775,"Las Vegas, NV",Msa,31,1486,0.059914408,0.078461538
394492,"Columbus, OH",Msa,32,1402,0.026354319,0.030165913
394705,"Indianapolis, IN",Msa,33,1255,0.014551334,0.032554257
395059,"San Jose, CA",Msa,34,3679,0.032846715,0.017714286
394355,"Austin, TX",Msa,35,1759,0.02805377,0.020274299
395194,"Virginia Beach, VA",Msa,36,1457,0.005521049,0.030583215
394902,"Nashville, TN",Msa,37,1559,0.024310118,0.022162525
395005,"Providence, RI",Msa,38,1708,0.007669617,0.019855596
394862,"Milwaukee, WI",Msa,39,1336,0.00149925,0.000750188
394714,"Jacksonville, FL",Msa,40,1446,0.032857143,0.052631579
394849,"Memphis, TN",Msa,41,1144,0.019607843,0.029357798
394935,"Oklahoma City, OK",Msa,42,1125,0.01534296,0.015582035
394807,"Louisville-Jefferson County, KY",Msa,43,1205,0.006683375,0.01097973
394669,"Hartford, CT",Msa,44,1624,0.010578718,0.014520202
395022,"Richmond, VA",Msa,45,1452,0.015384615,0.029517639
394910,"New Orleans, LA",Msa,46,1431,0.009880028,0.029796512
394425,"Buffalo, NY",Msa,47,1233,0.006530612,0.024247492
395012,"Raleigh, NC",Msa,48,1499,0.022510232,0.020891365
394388,"Birmingham, AL",Msa,49,1132,0.020739405,0.057197331
395053,"Salt Lake City, UT",Msa,50,1671,0.032118592,0.024035421
